                at point, X=6004436.65  Y=2028154.60  Z=   686.33
                at point, X=6004455.71  Y=2028142.55  Z=   688.44
                at point, X=6004474.77  Y=2028130.51  Z=   690.54
                at point, X=6004479.39  Y=2028126.64  Z=   690.14
                at point, X=6004484.02  Y=2028122.78  Z=   689.75
                at point, X=6004490.96  Y=2028116.76  Z=   695.90
                at point, X=6004497.89  Y=2028110.75  Z=   702.06
                at point, X=6004499.12  Y=2028109.13  Z=   701.57
                at point, X=6004502.92  Y=2028102.81  Z=   701.57
                at point, X=6004509.35  Y=2028108.56  Z=   701.09
                at point, X=6004517.87  Y=2028099.50  Z=   702.53
                at point, X=6004497.01  Y=2028080.55  Z=   702.53
                at point, X=6004488.22  Y=2028090.66  Z=   702.53
                at point, X=6004484.88  Y=2028090.46  Z=   703.98
                at point, X=6004479.04  Y=2028094.64  Z=   697.97
                at point, X=6004473.20  Y=2028098.82  Z=   691.96
                at point, X=6004468.13  Y=2028102.98  Z=   693.32
                at point, X=6004463.07  Y=2028107.13  Z=   694.68
                at point, X=6004453.15  Y=2028117.51  Z=   693.14
                at point, X=6004443.24  Y=2028127.89  Z=   691.60
                at point, X=6004435.85  Y=2028135.88  Z=   693.87
                at point, X=6004428.46  Y=2028143.87  Z=   696.13
                at point, X=6004432.55  Y=2028149.23  Z=   691.23
                at point, X=6004436.65  Y=2028154.60  Z=   686.33
